Global_UID,Source,Source_ID,Title,Project_ID,Created_At,Updated_At,Archive_Status,Archive_Link,Topic_Summary,Project_Tag,curated_239_member,curated_curated_row,curated_title,curated_batch_id,curated_provisional_category,curated_project_tags,curated_primary_project,curated_related_projects,curated_relation_to_yos,curated_classification_confidence,curated_main_subject,curated_raw_preservation_status,curated_verbatim_preservation_status,curated_fact_sheet_status,curated_open_tasks_status,curated_issues_status,curated_decisions_status,curated_artifact_links_status,curated_commit_verification_status,curated_canon_status,curated_crosswalk_relationship,curated_crosswalk_review_status,curated_crosswalk_match_method,canon_promoted
chatgpt_6a6a769b-539c-83eb-83ea-834c83691bdb,ChatGPT,6a6a769b-539c-83eb-83ea-834c83691bdb,🔀 FUSION 2 🔀,,2026-07-29 21:54:43,2026-07-30 03:51:16,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a6a9480-72d8-83eb-9d74-1d455a2b9a7e,ChatGPT,6a6a9480-72d8-83eb-9d74-1d455a2b9a7e,Plan journée Montfort,,2026-07-30 00:02:11,2026-07-30 00:15:24,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a5de467-6844-83eb-9a4f-849597c24605,ChatGPT,6a5de467-6844-83eb-9a4f-849597c24605,☯️☯️☯️ FUSION2 2 ☯️☯️☯️,,2026-07-20 09:03:44,2026-07-29 23:58:07,Pending,,,,True,1,🌟🌟🌟 ONE FUSION 🌟🌟🌟,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core,yOS / YOUniverse Core,,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a62566a-9b14-83eb-90a9-83c700b9f331,ChatGPT,6a62566a-9b14-83eb-90a9-83c700b9f331,🔀 FUSION 1 🔀,,2026-07-23 17:59:37,2026-07-29 23:30:14,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a13fc9e-41fc-838e-a14b-cddfb39239e5,ChatGPT,6a13fc9e-41fc-838e-a14b-cddfb39239e5,🚀 MISSION CONTROL 🚀,,2026-05-25 07:39:11,2026-07-29 21:53:17,Pending,,,,True,22,Google AI ecosystem vs Manus for Y-OS evolution,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; yOS Automation & Execution Layer,yOS / YOUniverse Core,yOS Automation & Execution Layer,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a6a6b97-33cc-83eb-8c63-704f591f00ad,ChatGPT,6a6a6b97-33cc-83eb-8c63-704f591f00ad,Problème Brave Coherence X,,2026-07-29 21:07:58,2026-07-29 21:13:27,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a6a6af1-173c-83eb-a9db-c2c76b093c74,ChatGPT,6a6a6af1-173c-83eb-a9db-c2c76b093c74,Universe vs Butlerbrain,,2026-07-29 21:04:52,2026-07-29 21:07:13,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a6694d9-5238-83eb-9973-57e0d51e451a,ChatGPT,6a6694d9-5238-83eb-9973-57e0d51e451a,🏺 ARCHEO 🏺,,2026-07-26 23:15:11,2026-07-28 23:03:03,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a4506ef-2d68-83ed-8fe5-b2cc357bff0c,ChatGPT,6a4506ef-2d68-83ed-8fe5-b2cc357bff0c,(KAP Phase 1 Introduction),,2026-07-01 12:24:19,2026-07-28 22:25:20,Pending,,,,True,32,KAP Phase 1 Introduction,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; KAP — Knowledge Architecture Program,yOS / YOUniverse Core,KAP — Knowledge Architecture Program,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a467b9d-3ae8-83eb-976a-bda4bfc90e76,ChatGPT,6a467b9d-3ae8-83eb-976a-bda4bfc90e76,(KAP PROCESS),,2026-07-02 14:54:51,2026-07-28 22:25:06,Pending,,,,True,34,KAP PROCESS,BATCH-01,Other / requires semantic review,KAP — Knowledge Architecture Program,KAP — Knowledge Architecture Program,,core,medium,KAP — Knowledge Architecture Program,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a669427-8558-83eb-8bac-7236150635da,ChatGPT,6a669427-8558-83eb-8bac-7236150635da,((🏛️ MAESTRO 🏛️)),,2026-07-26 23:12:18,2026-07-28 21:51:31,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a57a3ac-17d0-83ed-ae89-f55eeeba3afd,ChatGPT,6a57a3ac-17d0-83ed-ae89-f55eeeba3afd,Omega Wake-up Audit,,2026-07-15 15:14:01,2026-07-28 21:50:28,Pending,,,,True,14,Omega Wake-up Audit,BATCH-01,Product / app / tool design,ŒUVRE / OMEGA / COC Control Plane,ŒUVRE / OMEGA / COC Control Plane,,core,medium,ŒUVRE / OMEGA / COC Control Plane,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a57a564-a6c0-83eb-b7f0-e99348244915,ChatGPT,6a57a564-a6c0-83eb-b7f0-e99348244915,-O- Généalogie de l'Œuvre,,2026-07-15 15:21:23,2026-07-28 21:50:05,Pending,,,,True,31,-O- Généalogie de l'Œuvre,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; ŒUVRE / OMEGA / COC Control Plane; HOPE; KOSMOS / Genesis 001 / 4C,yOS / YOUniverse Core,ŒUVRE / OMEGA / COC Control Plane; HOPE; KOSMOS / Genesis 001 / 4C,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5aa6e9-2828-83eb-b29b-33f1f40f985a,ChatGPT,6a5aa6e9-2828-83eb-b29b-33f1f40f985a,--GARDEN--,,2026-07-17 22:05:09,2026-07-28 21:27:53,Pending,,,,True,18,--GARDEN--,BATCH-01,Other / requires semantic review,Garden & Plant Catalogue,Garden & Plant Catalogue,,personal_operational,medium,Garden & Plant Catalogue,preserved,preserved_json_only,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_recovered,title_created_exact,False
chatgpt_6a60d4db-2a24-83eb-b5d3-628caef31b21,ChatGPT,6a60d4db-2a24-83eb-b5d3-628caef31b21,JACUZZI,,2026-07-22 14:34:07,2026-07-28 21:27:31,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a65481f-e8a0-83eb-8af4-90fe0dd469de,ChatGPT,6a65481f-e8a0-83eb-8af4-90fe0dd469de,👫 YOS CANON & Y-TEAM -HQ 🏢,,2026-07-25 23:37:16,2026-07-28 21:21:50,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67e4f0-f884-83eb-8ec3-784372399870,ChatGPT,6a67e4f0-f884-83eb-8ec3-784372399870,Traitement Git Queue,,2026-07-27 23:08:38,2026-07-28 21:16:31,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67e73b-8a04-83eb-9fca-782acf51e7f3,ChatGPT,6a67e73b-8a04-83eb-9fca-782acf51e7f3,Audit GitHub Key Document,,2026-07-27 23:18:24,2026-07-28 21:16:26,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67e3a3-9928-83eb-bfeb-b4e36e89809b,ChatGPT,6a67e3a3-9928-83eb-bfeb-b4e36e89809b,Instructions GitHub avancées,,2026-07-27 23:03:06,2026-07-28 21:16:21,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
