Global_UID,Source,Source_ID,Title,Project_ID,Created_At,Updated_At,Archive_Status,Archive_Link,Topic_Summary,Project_Tag
manus_8tBPTbvN1p7UscgbGZpBx6,Manus,8tBPTbvN1p7UscgbGZpBx6,Sessions Manu’s cleanup,,2026-07-29T00:48:16.454Z,2026-07-29T23:19:50.591Z,Pending,,,
manus_eUYJNyFHQbLLiR2C8AvSDC,Manus,eUYJNyFHQbLLiR2C8AvSDC,Testing and Using Raindrop Connector Features,imd9BRqHPV68nZkKkiUtWT,2026-07-28T06:21:35.906Z,2026-07-29T22:36:21.465Z,Pending,,,
manus_baAN1J7u248tAG4G7uzDY5,Manus,baAN1J7u248tAG4G7uzDY5,...mymind.com : API/MCP ?,deP744efwf6gY4e7rA8M7C,2026-07-29T21:38:00.607Z,2026-07-29T21:45:19.602Z,Pending,,,
manus_mynScufEpfmHmfnCSYQ4d8,Manus,mynScufEpfmHmfnCSYQ4d8,Tagging Unlabeled Raindrop Bookmarks with Gemini Flash,deP744efwf6gY4e7rA8M7C,2026-07-29T00:01:00.996Z,2026-07-29T21:47:27.276Z,Pending,,,
manus_QdDhLd8dsEb8HCIX0TY4RR,Manus,QdDhLd8dsEb8HCIX0TY4RR,Best Chrome Extension for Managing Multiple Tabs,Gz25LHGt5xFF4hEghRYUQL,2026-07-29T13:17:44.989Z,2026-07-29T22:45:33.596Z,Pending,,,
manus_BmLf95sfAFL6fbgXVreXCc,Manus,BmLf95sfAFL6fbgXVreXCc,[✓] PoC eLink.io API — Curation top 10 liens procès OpenAI/Musk,,2026-05-17T17:40:03.333Z,2026-07-29T12:32:45.455Z,Pending,,,
manus_6GfkNiHzGGhEsdUtsRx6r5,Manus,6GfkNiHzGGhEsdUtsRx6r5,Weekly MyMind Monitoring Schedule Setup,deP744efwf6gY4e7rA8M7C,2026-07-28T12:40:56.132Z,2026-07-29T22:45:39.563Z,Pending,,,
manus_RDX9Qd4cLh4fecZoxV98L2,Manus,RDX9Qd4cLh4fecZoxV98L2,[✓] Elysium Civilizational Ontology — Phase 1 & 2 Research & Architecture,9Jn9dnhtjDL8ERjyijv5Fj,2026-06-27T00:00:04.907Z,2026-07-28T09:33:52.533Z,Pending,,,
manus_EcD94jyR76goBPbBwab142,Manus,EcD94jyR76goBPbBwab142,Testing and Demonstrating mem0 API Features,imd9BRqHPV68nZkKkiUtWT,2026-07-28T00:15:17.870Z,2026-07-29T22:12:54.992Z,Pending,,,
manus_Rb7rz7t4VVZmmStOdNpQwd,Manus,Rb7rz7t4VVZmmStOdNpQwd,Testing and Using Wireflow Connector Features,imd9BRqHPV68nZkKkiUtWT,2026-07-22T22:34:20.639Z,2026-07-29T22:44:27.273Z,Pending,,,
manus_HtIJYpJJbMwFBudNbebP0S,Manus,HtIJYpJJbMwFBudNbebP0S,Testing and Using Agent Opus Connector Features,imd9BRqHPV68nZkKkiUtWT,2026-07-22T22:34:07.629Z,2026-07-29T22:44:30.216Z,Pending,,,
manus_3LlE0NGSBHd76UQVWYKMss,Manus,3LlE0NGSBHd76UQVWYKMss,How to Test and Use the Mobbin Connector Features,imd9BRqHPV68nZkKkiUtWT,2026-07-22T22:25:54.737Z,2026-07-29T22:44:33.255Z,Pending,,,
manus_G48pF7RSTkDq7vAdiKRHSK,Manus,G48pF7RSTkDq7vAdiKRHSK,Parallel Processing for GitHub Repository Assimilation Audit,Ki9H3UCZSSaUwCR7bn46tv,2026-07-22T22:05:36.253Z,2026-07-29T22:46:08.545Z,Pending,,,
manus_SMctwKXZJWN6cXdYNG3FYR,Manus,SMctwKXZJWN6cXdYNG3FYR,Interactive Prototype for Y-CC Conversational Launcher,9GjP3A95mkVdcWbXKJmQQX,2026-07-22T10:22:54.434Z,2026-07-29T22:45:42.499Z,Pending,,,
manus_Cses4Jt2cJvjwfjsUMmuUn,Manus,Cses4Jt2cJvjwfjsUMmuUn,Freeze Manus–Notion Registry for G0 Reconstruction,9GjP3A95mkVdcWbXKJmQQX,2026-07-21T21:09:14.034Z,2026-07-29T22:45:45.548Z,Pending,,,
manus_3LfvuB5pqiAnVGccKMWGdx,Manus,3LfvuB5pqiAnVGccKMWGdx,Parallel Processing for Manus–Notion Identity and Duplicate Analysis,9GjP3A95mkVdcWbXKJmQQX,2026-07-21T21:09:43.746Z,2026-07-29T22:45:48.568Z,Pending,,,
