curated_row,title,curated_uuid_original,resolved_uuid,candidate_uuid,relationship,match_method,match_confidence,review_status,candidate_count,curated_created_at,ledger_created_at,created_delta_seconds,curated_updated_at,ledger_updated_at,updated_delta_seconds,ledger_title,ledger_global_uid,baseline_batch_id,baseline_primary_project,baseline_provisional_category,baseline_fact_sheet_status,baseline_verbatim_preservation_status,canon_promoted
1,,6a5de467-6844-83eb-9a4f-849597c24605,6a5de467-6844-83eb-9a4f-849597c24605,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 09:03:44,,,2026-07-29 23:58:07,,☯️☯️☯️ FUSION2 2 ☯️☯️☯️,chatgpt_6a5de467-6844-83eb-9a4f-849597c24605,,,,,,False
2,,6a5e6fd5-5784-83ed-b3d2-d6a26689d44e,6a5e6fd5-5784-83ed-b3d2-d6a26689d44e,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 18:58:35,,,2026-07-24 19:41:48,,WhatsApp Export and LLM Access,chatgpt_6a5e6fd5-5784-83ed-b3d2-d6a26689d44e,,,,,,False
3,,6a5d5957-bd80-83eb-905c-986ec2a0190a,6a5d5957-bd80-83eb-905c-986ec2a0190a,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-19 23:10:26,,,2026-07-20 16:07:51,,OMEGA Audit Long Run,chatgpt_6a5d5957-bd80-83eb-905c-986ec2a0190a,,,,,,False
4,,6a5e47d4-ece4-83ed-ac78-9c71e5bef49a,6a5e47d4-ece4-83ed-ac78-9c71e5bef49a,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 16:07:50,,,2026-07-28 21:15:06,,(OMEGA audit converged with key gaps remaining,chatgpt_6a5e47d4-ece4-83ed-ac78-9c71e5bef49a,,,,,,False
5,,6a5e4649-f5ec-83ed-bf66-8adaf44adabc,6a5e4649-f5ec-83ed-bf66-8adaf44adabc,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 16:01:15,,,2026-07-20 16:01:15,,Run the corrected crawler to unblock MAP WAVE 001,chatgpt_6a5e4649-f5ec-83ed-bf66-8adaf44adabc,,,,,,False
6,,6a5e463d-cba8-83ed-801d-1e0ecfbe2b31,6a5e463d-cba8-83ed-801d-1e0ecfbe2b31,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 16:01:12,,,2026-07-20 16:01:12,,Audit final non clôturé avec lacunes bloquantes,chatgpt_6a5e463d-cba8-83ed-801d-1e0ecfbe2b31,,,,,,False
7,,6a5e2f9d-f728-83eb-9c58-f5503602e13b,6a5e2f9d-f728-83eb-9c58-f5503602e13b,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 14:24:32,,,2026-07-20 14:24:32,,Omega Notion Takeout Final Sprint,chatgpt_6a5e2f9d-f728-83eb-9c58-f5503602e13b,,,,,,False
8,,6a5697e1-1898-83eb-a906-415b6562a992,6a5697e1-1898-83eb-a906-415b6562a992,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-14 20:12:29,,,2026-07-20 13:50:12,,Clôture Notion Takeout,chatgpt_6a5697e1-1898-83eb-a906-415b6562a992,,,,,,False
9,,6a5de6ee-6dbc-83ed-afe0-62af72592ec8,6a5de6ee-6dbc-83ed-afe0-62af72592ec8,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 09:14:28,,,2026-07-20 13:49:53,,cleanup sessions ChatGPT,chatgpt_6a5de6ee-6dbc-83ed-afe0-62af72592ec8,,,,,,False
10,,6a5de469-7390-83eb-b069-71e5ab5b7041,6a5de469-7390-83eb-b069-71e5ab5b7041,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 09:03:38,,,2026-07-28 21:15:11,,(Omega Notion Takeout Day Shift,chatgpt_6a5de469-7390-83eb-b069-71e5ab5b7041,,,,,,False
